/home/hlx/anaconda3/envs/pytorch/bin/python3.8 /home/hlx/lishu/Contrastive_Learning/12C3-main/main.py
#here hard_negatives，n_hard=32，largest=True，hard_negatives1，T=1.0
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
epoch: 0
ACC: 0.7898666666666667
NMI: 0.704836097392707
ARI: 0.6371426700917067
epoch: 1
ACC: 0.7921666666666667
NMI: 0.7087243983398142
ARI: 0.6410391075256721
epoch: 2
ACC: 0.8026
NMI: 0.7197615574580525
ARI: 0.6548443633494379
epoch: 3
ACC: 0.8184833333333333
NMI: 0.7328540258058714
ARI: 0.6760621508812641
epoch: 4
ACC: 0.82695
NMI: 0.7412983818089968
ARI: 0.6881593670681172
epoch: 5
ACC: 0.8344833333333334
NMI: 0.7461570755972481
ARI: 0.7013077909316326
epoch: 6
ACC: 0.8408666666666667
NMI: 0.7546568876553226
ARI: 0.7115050741677047
epoch: 7
ACC: 0.8422
NMI: 0.757111600190229
ARI: 0.7135886173894105
epoch: 8
ACC: 0.84455
NMI: 0.7571530026948914
ARI: 0.7190382959246536
epoch: 9
ACC: 0.84545
NMI: 0.7591386570761883
ARI: 0.7201505867164469
epoch: 10
ACC: 0.8463833333333334
NMI: 0.7592434104834698
ARI: 0.7220905221358157
epoch: 11
ACC: 0.8461
NMI: 0.760240157733637
ARI: 0.7217302914572715
epoch: 12
ACC: 0.8467
NMI: 0.7617503338399264
ARI: 0.7227168716926557
epoch: 13
ACC: 0.8479166666666667
NMI: 0.762188862024841
ARI: 0.725020106237579
epoch: 14
ACC: 0.8476666666666667
NMI: 0.7638517767072502
ARI: 0.7245187472517659
epoch: 15
ACC: 0.8492166666666666
NMI: 0.7640978382549476
ARI: 0.7277041026321553
epoch: 16
ACC: 0.8475166666666667
NMI: 0.7643830475670712
ARI: 0.723858962588136
epoch: 17
ACC: 0.8490166666666666
NMI: 0.7640093623614959
ARI: 0.7265556998534374
epoch: 18
ACC: 0.8490833333333333
NMI: 0.7648498442980023
ARI: 0.7262496264180983
epoch: 19
ACC: 0.8494
NMI: 0.7649574170272785
ARI: 0.7268082820413809

Process finished with exit code 0
